student_id,first_name,middle_name,last_name,course,year_level,section,email
2026-001003,Juan,Dunn,Morris,BSA,"2nd Year",C2,juan.morris1003@zdspgc.edu.ph
2026-001004,Fernando,Howard,Tucker,BSA,"1st Year",B,fernando.tucker1004@zdspgc.edu.ph
2026-001005,Federico,Jordan,Rivera,BEED,"4th Year",C1,federico.rivera1005@zdspgc.edu.ph
2026-001006,Carmen,Washington,Black,BSBA,"3rd Year",B,carmen.black1006@zdspgc.edu.ph
2026-001007,Valeria,Cunningham,Griffin,BSA,"4th Year",A,valeria.griffin1007@zdspgc.edu.ph
2026-001008,Gustavo,Andrews,Nelson,BEED,"1st Year",C2,gustavo.nelson1008@zdspgc.edu.ph
2026-001009,Valeria,Butler,Morales,BSIT,"1st Year",C2,valeria.morales1009@zdspgc.edu.ph
2026-001010,Diana,Dunn,Long,BSCrim,"4th Year",B,diana.long1010@zdspgc.edu.ph
2026-001011,Ricardo,Campbell,Ferguson,BSA,"3rd Year",C1,ricardo.ferguson1011@zdspgc.edu.ph
2026-001012,Sandra,Cox,Daniels,BSED,"3rd Year",C2,sandra.daniels1012@zdspgc.edu.ph
2026-001013,Daniela,Nelson,Kelley,BSHM,"2nd Year",A,daniela.kelley1013@zdspgc.edu.ph
2026-001014,Ricardo,Hayes,Reyes,BEED,"1st Year",C1,ricardo.reyes1014@zdspgc.edu.ph
2026-001015,Laura,Morris,Ray,BSBA,"4th Year",C1,laura.ray1015@zdspgc.edu.ph
2026-001016,Pedro,Jenkins,Evans,BSBA,"1st Year",B,pedro.evans1016@zdspgc.edu.ph
2026-001017,Luis,Torres,Moore,BSIT,"2nd Year",C,luis.moore1017@zdspgc.edu.ph
2026-001018,Daniela,Bradley,Mason,BSIT,"3rd Year",C1,daniela.mason1018@zdspgc.edu.ph
2026-001019,Teresa,Griffin,Holmes,BSHM,"1st Year",A,teresa.holmes1019@zdspgc.edu.ph
2026-001020,Valeria,Sanchez,Ray,BSHM,"4th Year",C2,valeria.ray1020@zdspgc.edu.ph
2026-001021,Hugo,Fields,Daniels,BSA,"2nd Year",C,hugo.daniels1021@zdspgc.edu.ph
2026-001022,Oscar,Hart,Hughes,BSIT,"2nd Year",C2,oscar.hughes1022@zdspgc.edu.ph
2026-001023,Santiago,Marshall,Carpenter,BEED,"4th Year",C,santiago.carpenter1023@zdspgc.edu.ph
2026-001024,Andres,Knight,Hamilton,BSBA,"4th Year",C2,andres.hamilton1024@zdspgc.edu.ph
2026-001025,Paula,Black,Molina,BSA,"2nd Year",A,paula.molina1025@zdspgc.edu.ph
2026-001026,Felipe,James,Palmer,BSBA,"1st Year",A,felipe.palmer1026@zdspgc.edu.ph
2026-001027,Javier,Hicks,Adams,BSBA,"4th Year",C1,javier.adams1027@zdspgc.edu.ph
2026-001028,Elena,Crawford,Gonzales,BSBA,"4th Year",C2,elena.gonzales1028@zdspgc.edu.ph
2026-001029,Rosa,Spencer,Reed,BSIT,"3rd Year",A,rosa.reed1029@zdspgc.edu.ph
2026-001030,Marco,Henry,Young,BSHM,"2nd Year",C1,marco.young1030@zdspgc.edu.ph
2026-001031,Adrian,Duncan,Armstrong,BEED,"3rd Year",C1,adrian.armstrong1031@zdspgc.edu.ph
2026-001032,Alberto,Cruz,Barnes,BSBA,"1st Year",C,alberto.barnes1032@zdspgc.edu.ph
2026-001033,Lucia,Wilson,Hayes,BSHM,"4th Year",C,lucia.hayes1033@zdspgc.edu.ph
2026-001034,Elena,Garcia,Santos,BSA,"2nd Year",B,elena.santos1034@zdspgc.edu.ph
2026-001035,Miguel,Moore,Gomez,BEED,"3rd Year",C2,miguel.gomez1035@zdspgc.edu.ph
2026-001036,Nicolas,Santos,Ellis,BSHM,"2nd Year",C,nicolas.ellis1036@zdspgc.edu.ph
2026-001037,Oscar,Kennedy,Perry,BSA,"3rd Year",C1,oscar.perry1037@zdspgc.edu.ph
2026-001038,Isabella,Elliott,Martin,BSCrim,"2nd Year",C2,isabella.martin1038@zdspgc.edu.ph
2026-001039,Valentina,Rogers,Moore,BSBA,"4th Year",C,valentina.moore1039@zdspgc.edu.ph
2026-001040,Gabriela,Sullivan,Matthews,BSA,"2nd Year",C,gabriela.matthews1040@zdspgc.edu.ph
2026-001041,Ricardo,Bennett,Barnes,BSCrim,"4th Year",B,ricardo.barnes1041@zdspgc.edu.ph
2026-001042,Rosa,Andrews,Hart,BSED,"2nd Year",C2,rosa.hart1042@zdspgc.edu.ph
2026-001043,Christian,Perez,Arnold,BSIT,"3rd Year",B,christian.arnold1043@zdspgc.edu.ph
2026-001044,Adrian,Reyes,Lopez,BSED,"2nd Year",C1,adrian.lopez1044@zdspgc.edu.ph
2026-001045,Sofia,Brooks,Ortiz,BSED,"1st Year",B,sofia.ortiz1045@zdspgc.edu.ph
2026-001046,Sandra,Bell,Green,BSED,"3rd Year",B,sandra.green1046@zdspgc.edu.ph
2026-001047,Fernando,Watson,Cook,BSCrim,"4th Year",B,fernando.cook1047@zdspgc.edu.ph
2026-001048,Sebastian,Taylor,Butler,BSED,"4th Year",B,sebastian.butler1048@zdspgc.edu.ph
2026-001049,Diana,Hawkins,Dunn,BSED,"1st Year",A,diana.dunn1049@zdspgc.edu.ph
